video_id,video_url,entry_title,live_status,duration_seconds,view_count,saved_json_path,fetched_at
LlvSJ0QAvwg,https://www.youtube.com/watch?v=LlvSJ0QAvwg,[55/365] LIVE: STATE OF THE UNION INVESTMENT OPPORTUNITIES,was_live,7712.0,446,data\raw\youtube\kenny-finance-streams\videos\LlvSJ0QAvwg.json,2026-05-06T02:38:06.455001+00:00
KPHnArwlSDU,https://www.youtube.com/watch?v=KPHnArwlSDU,[54/365] RANKING PRIVATE EQUITY ROLL UPS,was_live,8246.0,279,data\raw\youtube\kenny-finance-streams\videos\KPHnArwlSDU.json,2026-05-06T02:38:06.455001+00:00
uq46wuvse2k,https://www.youtube.com/watch?v=uq46wuvse2k,[53/365] FINDING UNDERVALUED STOCKS ON A SUNDAY,was_live,8683.0,355,data\raw\youtube\kenny-finance-streams\videos\uq46wuvse2k.json,2026-05-06T02:38:06.455001+00:00
8PU5udTkyv0,https://www.youtube.com/watch?v=8PU5udTkyv0,[52/365] SOURCING BUSINESS SATURDAYS,was_live,42900.0,642,data\raw\youtube\kenny-finance-streams\videos\8PU5udTkyv0.json,2026-05-06T02:38:06.455001+00:00
0t_XqtyOkDU,https://www.youtube.com/watch?v=0t_XqtyOkDU,[51/365] STOCK PITCH COMPETITION!,was_live,15148.0,298,data\raw\youtube\kenny-finance-streams\videos\0t_XqtyOkDU.json,2026-05-06T02:38:06.455001+00:00
0V0WNSuJB-Y,https://www.youtube.com/watch?v=0V0WNSuJB-Y,[50/365] BUYING A SUBSCRIBER A BUSINESS,was_live,12398.0,513,data\raw\youtube\kenny-finance-streams\videos\0V0WNSuJB-Y.json,2026-05-06T02:38:06.455001+00:00
gfrRYI_SoQo,https://www.youtube.com/watch?v=gfrRYI_SoQo,[49/365] FINDING THE BEST INTERNATIONAL STOCKS (ASIA),was_live,7636.0,232,data\raw\youtube\kenny-finance-streams\videos\gfrRYI_SoQo.json,2026-05-06T02:38:06.455001+00:00
RuruU0PjpwI,https://www.youtube.com/watch?v=RuruU0PjpwI,[48/365] PLAYING GUESS THAT BUSINESS,was_live,8175.0,356,data\raw\youtube\kenny-finance-streams\videos\RuruU0PjpwI.json,2026-05-06T02:38:06.455001+00:00
sRtte3uD-vw,https://www.youtube.com/watch?v=sRtte3uD-vw,[47/365] Mr. Beast is Buying Businesses!,was_live,7522.0,268,data\raw\youtube\kenny-finance-streams\videos\sRtte3uD-vw.json,2026-05-06T02:38:06.455001+00:00
fmF8Q5T7RBc,https://www.youtube.com/watch?v=fmF8Q5T7RBc,[46/365] Testing AI Software for Boring Businesses,was_live,10172.0,307,data\raw\youtube\kenny-finance-streams\videos\fmF8Q5T7RBc.json,2026-05-06T02:38:06.455001+00:00
FfQ-MHXY2YU,https://www.youtube.com/watch?v=FfQ-MHXY2YU,[45/365] BUYING MY VALENTINE'S A BUSINESS,was_live,9414.0,391,data\raw\youtube\kenny-finance-streams\videos\FfQ-MHXY2YU.json,2026-05-06T02:38:06.455001+00:00
aJLEgnWWOwU,https://www.youtube.com/watch?v=aJLEgnWWOwU,[44/365] STOCK PITCH FRIDAYS WITH CHAT CAPITAL,was_live,8575.0,226,data\raw\youtube\kenny-finance-streams\videos\aJLEgnWWOwU.json,2026-05-06T02:38:06.455001+00:00
JR0SL6f_NpM,https://www.youtube.com/watch?v=JR0SL6f_NpM,[43/365] MODERNIZING A BORING BIZ WITH AI,was_live,8126.0,226,data\raw\youtube\kenny-finance-streams\videos\JR0SL6f_NpM.json,2026-05-06T02:38:06.455001+00:00
gwucqK2GVDU,https://www.youtube.com/watch?v=gwucqK2GVDU,[42/365] CONSUMER EARNINGS WITH CHAT CAPITAL,was_live,9590.0,150,data\raw\youtube\kenny-finance-streams\videos\gwucqK2GVDU.json,2026-05-06T02:38:06.455001+00:00
-KztJ9ctruk,https://www.youtube.com/watch?v=-KztJ9ctruk,[41/365] BUYING A ROOFING COMPANY WITH CHAT (PART 2),was_live,9594.0,287,data\raw\youtube\kenny-finance-streams\videos\-KztJ9ctruk.json,2026-05-06T02:38:06.455001+00:00
gbOqbKFRzW0,https://www.youtube.com/watch?v=gbOqbKFRzW0,[40/365] BUYING A ROOFING COMPANY WITH CHAT,was_live,7401.0,263,data\raw\youtube\kenny-finance-streams\videos\gbOqbKFRzW0.json,2026-05-06T02:38:06.455001+00:00
leAI8DbVoVY,https://www.youtube.com/watch?v=leAI8DbVoVY,[39/365] ECONOMICS OF SUPERBOWL ADS,was_live,7860.0,243,data\raw\youtube\kenny-finance-streams\videos\leAI8DbVoVY.json,2026-05-06T02:38:06.455001+00:00
J_39POvarJk,https://www.youtube.com/watch?v=J_39POvarJk,[38/365] SOURCING BUSINESS ACQUISITIONS,was_live,11692.0,338,data\raw\youtube\kenny-finance-streams\videos\J_39POvarJk.json,2026-05-06T02:38:06.455001+00:00
NLhU11m19q4,https://www.youtube.com/watch?v=NLhU11m19q4,[37/365] HELPING CHAT BUILD GENERATIONAL WEALTH AND ARC RAIDERS (12 HR STREAM!),was_live,42900.0,495,data\raw\youtube\kenny-finance-streams\videos\NLhU11m19q4.json,2026-05-06T02:38:06.455001+00:00
2xsbA7D_hg0,https://www.youtube.com/watch?v=2xsbA7D_hg0,[36/365] UNPACKING AMAZON'S EARNINGS MISS,was_live,7312.0,138,data\raw\youtube\kenny-finance-streams\videos\2xsbA7D_hg0.json,2026-05-06T02:38:06.455001+00:00
C_CzBdGXxwg,https://www.youtube.com/watch?v=C_CzBdGXxwg,[35/365] CAN GOOGLE PREVENT THE AI BUBBLE?,was_live,13794.0,205,data\raw\youtube\kenny-finance-streams\videos\C_CzBdGXxwg.json,2026-05-06T02:38:06.455001+00:00
XwIFCLRAa08,https://www.youtube.com/watch?v=XwIFCLRAa08,[34/365] THE BEGINNING OF THE END FOR SOFTWARE,was_live,11826.0,206,data\raw\youtube\kenny-finance-streams\videos\XwIFCLRAa08.json,2026-05-06T02:38:06.455001+00:00
